2024-12-02 17:58:25,093 - DataLoader - INFO - Loading data...
2024-12-02 17:58:39,364 - ModelTrainer - INFO - [Epoch 1] Average Loss: 1.3996, Accuracy: 52.52%
2024-12-02 17:58:52,389 - ModelTrainer - INFO - [Epoch 2] Average Loss: 1.0724, Accuracy: 63.12%
2024-12-02 17:59:05,422 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.9807, Accuracy: 66.34%
2024-12-02 17:59:18,458 - ModelTrainer - INFO - [Epoch 4] Average Loss: 1.0802, Accuracy: 63.21%
2024-12-02 17:59:31,491 - ModelTrainer - INFO - [Epoch 5] Average Loss: 1.0037, Accuracy: 65.86%
2024-12-02 17:59:44,524 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.9938, Accuracy: 66.14%
2024-12-02 17:59:57,559 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.7998, Accuracy: 72.63%
2024-12-02 18:00:10,590 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.8636, Accuracy: 70.64%
2024-12-02 18:00:23,643 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.7989, Accuracy: 72.87%
2024-12-02 18:00:36,676 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.7369, Accuracy: 74.85%
2024-12-02 18:00:49,710 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.6825, Accuracy: 76.55%
2024-12-02 18:01:02,741 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.7722, Accuracy: 73.76%
2024-12-02 18:01:15,775 - ModelTrainer - INFO - [Epoch 13] Average Loss: 0.6723, Accuracy: 76.73%
2024-12-02 18:01:28,791 - ModelTrainer - INFO - [Epoch 14] Average Loss: 0.6358, Accuracy: 78.23%
2024-12-02 18:01:41,822 - ModelTrainer - INFO - [Epoch 15] Average Loss: 0.6517, Accuracy: 77.74%
2024-12-02 18:01:54,841 - ModelTrainer - INFO - [Epoch 16] Average Loss: 0.7536, Accuracy: 74.17%
2024-12-02 18:02:07,841 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.6035, Accuracy: 79.10%
2024-12-02 18:02:20,861 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.5779, Accuracy: 80.02%
2024-12-02 18:02:33,878 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.5703, Accuracy: 80.33%
2024-12-02 18:02:46,910 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.5394, Accuracy: 81.14%
2024-12-02 18:02:59,880 - ModelTrainer - INFO - [Epoch 21] Average Loss: 0.5657, Accuracy: 80.51%
2024-12-02 18:03:12,913 - ModelTrainer - INFO - [Epoch 22] Average Loss: 0.5674, Accuracy: 80.47%
2024-12-02 18:03:25,946 - ModelTrainer - INFO - [Epoch 23] Average Loss: 0.5245, Accuracy: 81.91%
2024-12-02 18:03:38,978 - ModelTrainer - INFO - [Epoch 24] Average Loss: 0.5289, Accuracy: 81.73%
2024-12-02 18:03:52,012 - ModelTrainer - INFO - [Epoch 25] Average Loss: 0.5566, Accuracy: 80.94%
2024-12-02 18:04:05,049 - ModelTrainer - INFO - [Epoch 26] Average Loss: 0.4907, Accuracy: 83.03%
2024-12-02 18:04:18,077 - ModelTrainer - INFO - [Epoch 27] Average Loss: 0.4703, Accuracy: 83.86%
2024-12-02 18:04:31,114 - ModelTrainer - INFO - [Epoch 28] Average Loss: 0.4689, Accuracy: 83.80%
2024-12-02 18:04:44,148 - ModelTrainer - INFO - [Epoch 29] Average Loss: 0.4717, Accuracy: 83.62%
2024-12-02 18:04:57,180 - ModelTrainer - INFO - [Epoch 30] Average Loss: 0.4633, Accuracy: 84.02%
2024-12-02 18:04:58,012 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:04:59,005 - ModelTrainer - INFO - Test Loss: 0.4598, Test Accuracy: 84.84%
2024-12-02 18:11:34,722 - DataLoader - INFO - Loading data...
2024-12-02 18:11:34,722 - DataLoader - INFO - Loading data...
2024-12-02 18:11:48,633 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3827, Accuracy: 86.56%
2024-12-02 18:11:48,633 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3827, Accuracy: 86.56%
2024-12-02 18:12:01,668 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3488, Accuracy: 87.76%
2024-12-02 18:12:01,668 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3488, Accuracy: 87.76%
2024-12-02 18:12:14,702 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3415, Accuracy: 88.21%
2024-12-02 18:12:14,702 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3415, Accuracy: 88.21%
2024-12-02 18:12:27,736 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3318, Accuracy: 88.49%
2024-12-02 18:12:27,736 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3318, Accuracy: 88.49%
2024-12-02 18:12:40,766 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3238, Accuracy: 88.64%
2024-12-02 18:12:40,766 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3238, Accuracy: 88.64%
2024-12-02 18:12:53,803 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3192, Accuracy: 88.83%
2024-12-02 18:12:53,803 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3192, Accuracy: 88.83%
2024-12-02 18:13:06,837 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.3122, Accuracy: 89.17%
2024-12-02 18:13:06,837 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.3122, Accuracy: 89.17%
2024-12-02 18:13:19,869 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.3065, Accuracy: 89.20%
2024-12-02 18:13:19,869 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.3065, Accuracy: 89.20%
2024-12-02 18:13:32,904 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.3017, Accuracy: 89.44%
2024-12-02 18:13:32,904 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.3017, Accuracy: 89.44%
2024-12-02 18:13:45,936 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2933, Accuracy: 89.66%
2024-12-02 18:13:45,936 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2933, Accuracy: 89.66%
2024-12-02 18:13:46,766 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:13:46,766 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:13:47,753 - ModelTrainer - INFO - Test Loss: 0.3655, Test Accuracy: 88.07%
2024-12-02 18:13:47,753 - ModelTrainer - INFO - Test Loss: 0.3655, Test Accuracy: 88.07%
2024-12-02 18:17:18,662 - DataLoader - INFO - Loading data...
2024-12-02 18:17:32,929 - ModelTrainer - INFO - [Epoch 1] Average Loss: 1.4810, Accuracy: 49.51%
2024-12-02 18:17:45,954 - ModelTrainer - INFO - [Epoch 2] Average Loss: 1.3555, Accuracy: 53.42%
2024-12-02 18:17:58,990 - ModelTrainer - INFO - [Epoch 3] Average Loss: 1.1023, Accuracy: 61.36%
2024-12-02 18:18:12,021 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.9980, Accuracy: 65.91%
2024-12-02 18:18:25,055 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.8819, Accuracy: 69.84%
2024-12-02 18:18:38,090 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.9731, Accuracy: 66.86%
2024-12-02 18:18:51,111 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.9266, Accuracy: 68.48%
2024-12-02 18:19:04,141 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.8121, Accuracy: 72.07%
2024-12-02 18:19:17,155 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.7467, Accuracy: 74.40%
2024-12-02 18:19:30,189 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.7315, Accuracy: 75.03%
2024-12-02 18:19:43,223 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.7107, Accuracy: 75.75%
2024-12-02 18:19:56,261 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.7913, Accuracy: 73.18%
2024-12-02 18:20:09,291 - ModelTrainer - INFO - [Epoch 13] Average Loss: 0.6814, Accuracy: 76.61%
2024-12-02 18:20:22,324 - ModelTrainer - INFO - [Epoch 14] Average Loss: 0.6758, Accuracy: 76.60%
2024-12-02 18:20:35,358 - ModelTrainer - INFO - [Epoch 15] Average Loss: 0.6131, Accuracy: 78.88%
2024-12-02 18:20:48,391 - ModelTrainer - INFO - [Epoch 16] Average Loss: 0.6093, Accuracy: 79.23%
2024-12-02 18:21:01,424 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.6739, Accuracy: 76.97%
2024-12-02 18:21:14,458 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.6055, Accuracy: 79.30%
2024-12-02 18:21:27,492 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.5767, Accuracy: 80.12%
2024-12-02 18:21:40,526 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.6233, Accuracy: 78.73%
2024-12-02 18:21:53,562 - ModelTrainer - INFO - [Epoch 21] Average Loss: 0.5911, Accuracy: 79.61%
2024-12-02 18:22:06,595 - ModelTrainer - INFO - [Epoch 22] Average Loss: 0.6608, Accuracy: 77.60%
2024-12-02 18:22:19,630 - ModelTrainer - INFO - [Epoch 23] Average Loss: 0.5450, Accuracy: 81.04%
2024-12-02 18:22:32,659 - ModelTrainer - INFO - [Epoch 24] Average Loss: 0.5139, Accuracy: 82.24%
2024-12-02 18:22:45,696 - ModelTrainer - INFO - [Epoch 25] Average Loss: 0.5021, Accuracy: 82.66%
2024-12-02 18:22:58,729 - ModelTrainer - INFO - [Epoch 26] Average Loss: 0.5117, Accuracy: 82.38%
2024-12-02 18:23:11,746 - ModelTrainer - INFO - [Epoch 27] Average Loss: 0.4929, Accuracy: 83.22%
2024-12-02 18:23:24,780 - ModelTrainer - INFO - [Epoch 28] Average Loss: 0.4874, Accuracy: 83.28%
2024-12-02 18:23:37,794 - ModelTrainer - INFO - [Epoch 29] Average Loss: 0.4720, Accuracy: 83.70%
2024-12-02 18:23:50,829 - ModelTrainer - INFO - [Epoch 30] Average Loss: 0.4506, Accuracy: 84.53%
2024-12-02 18:23:51,668 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:23:52,658 - ModelTrainer - INFO - Test Loss: 0.4662, Test Accuracy: 84.20%
2024-12-02 18:24:09,058 - DataLoader - INFO - Loading data...
2024-12-02 18:24:22,978 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3771, Accuracy: 86.86%
2024-12-02 18:24:22,978 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3771, Accuracy: 86.86%
2024-12-02 18:24:36,011 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3450, Accuracy: 88.02%
2024-12-02 18:24:36,011 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3450, Accuracy: 88.02%
2024-12-02 18:24:49,044 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3357, Accuracy: 88.43%
2024-12-02 18:24:49,044 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3357, Accuracy: 88.43%
2024-12-02 18:25:02,082 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3228, Accuracy: 88.61%
2024-12-02 18:25:02,082 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3228, Accuracy: 88.61%
2024-12-02 18:25:15,112 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3165, Accuracy: 88.93%
2024-12-02 18:25:15,112 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3165, Accuracy: 88.93%
2024-12-02 18:25:28,150 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3147, Accuracy: 89.02%
2024-12-02 18:25:28,150 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3147, Accuracy: 89.02%
2024-12-02 18:25:41,182 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.3070, Accuracy: 89.29%
2024-12-02 18:25:41,182 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.3070, Accuracy: 89.29%
2024-12-02 18:25:54,212 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.3040, Accuracy: 89.48%
2024-12-02 18:25:54,212 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.3040, Accuracy: 89.48%
2024-12-02 18:26:07,250 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.3018, Accuracy: 89.40%
2024-12-02 18:26:07,250 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.3018, Accuracy: 89.40%
2024-12-02 18:26:20,282 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2965, Accuracy: 89.70%
2024-12-02 18:26:20,282 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2965, Accuracy: 89.70%
2024-12-02 18:26:33,313 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.2905, Accuracy: 89.94%
2024-12-02 18:26:33,313 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.2905, Accuracy: 89.94%
2024-12-02 18:26:46,331 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.2835, Accuracy: 90.00%
2024-12-02 18:26:46,331 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.2835, Accuracy: 90.00%
2024-12-02 18:26:59,331 - ModelTrainer - INFO - [Epoch 13] Average Loss: 0.2818, Accuracy: 90.03%
